NAME	ADDRESS	DISTRICT	NUMBER	CATEGORY	COMMENTS	USED IN CASE	
Nestor, Clyde M	11EC	EC	11		Duplicate		
Nethercott & Stims	76E	E	76		Duplicate		
Nettleship Bros	61SE	SE	61		Duplicate		
Neuberger, Benjamin	22E	E	22		German		
Neudorf, Paul von	78SW	SW	78				
Nevers, Alfred	62WC	WC	62				
Nevil, Gwendolyn	51NW	NW	51				
Nevill’s Turkish Baths	92WC	WC	92		(Baths)		
Newberry Ltd	7E	E	7				
Newbold, Elliot	62SE	SE	62				
Newbury, Merlin	26NW	NW	26				
Newgate Prison	36EC	EC	36				
Newhall, Lionel	89SW	SW	89				
Newmarch, Edgar	75NW	NW	75				
Newmarch, Norman	100SW	SW	100				
Central Press Syndicate	25EC	EC	25	NEWSPAPERS			
Daily Chronicle	64EC	EC	64	NEWSPAPERS			
Daily Gazette	74WC	WC	74	NEWSPAPERS			
Daily News	71SE	SE	71	NEWSPAPERS			
Daily Telegraph	88NW	NW	88	NEWSPAPERS			
Evening News Standard	9NW	NW	9	NEWSPAPERS			
Pall Mall Gazette	90SW	SW	90	NEWSPAPERS			
Police Gazette	35EC	EC	35	NEWSPAPERS			
St. James Gazette	89SW	SW	89	NEWSPAPERS			
Spectator	51SE	SE	51	NEWSPAPERS			
Sporting Times	47EC	EC	47	NEWSPAPERS			
Standard	40EC	EC	40	NEWSPAPERS			
Star	26NW	NW	26	NEWSPAPERS			
Times	30EC	EC	30	NEWSPAPERS	"Times Office"		
Niblick, Stephen	86EC	EC	86				
Nichols, Evelyn	74NW	NW	74				
Nielson, Dorre	9NW	NW	9				
Nigh, Carley	33E	E	33				
Nightingale, Ogden	32NW	NW	32				
Niland, Eric	35WC	WC	35				
Niles, Lydia	33WC	WC	33				
Nims, Bernard	46SE	SE	46				
Nishimoto, Teruko	24E	E	24		Asian		
Niven, Amanda	41WC	WC	41				
Niven, Maurice	41WC	WC	41				
Nixdork, Luther	37E	E	37				
Noakes, Morton	61E	E	61				
Noble, Rudolph	1NW	NW	1			1	
Noily, John	65WC	WC	65				
Nolan, Frances	46WC	WC	46			2	
Nolan, Loretta	21SW	SW	21			2	
Noonan, Gilbert	73NW	NW	73				
Norbeck, Waldo	80E	E	80				
Norby, Sumps & Co	57E	E	57				
Nordstrom, Olaf	8EC	EC	8		Nordic		
Norell, Harold	15EC	EC	15				
Norgate & Co	41WC	WC	41				
Norman, Sir Clifton	39SW	SW	39				
Norman-Neruda, Wilma	72NW	NW	72				
Norris, Brady	20WC	WC	20			10	
Norte, Laura	78EC	EC	78				
North, F	71NW	NW	71				
Northrup, Lucille	47SE	SE	47				
Northrup, Peter	47SE	SE	47				
Norville, Herbert	38SW	SW	38				
Norwood, Curt	64EC	EC	64				
Noulette, Ed	30E	E	30				
Novak, Adams & Co	31SW	SW	31				
Novak, Irving	70NW	NW	70				
Novosielski, Michael	76SW	SW	76				
Noyes, Marion	52S	S	52				
Nudelman, Herman	62SW	SW	62				
Nugent, Phyllis	25SW	SW	25				
Nunes, Kathryn	15EC	EC	15				
Nunley & Coops	36S	S	36				
Nutter, Lavinia	35NW	NW	35				
Nyden, Lyle	54S	S	54				
Nye, Benjamin	56SE	SE	56				
O.O. Oliver & Co	61E	E	61				
Oakford, Simon	69SE	SE	69				
Oakley, Mable	1SE	SE	1				
Oakshott, Dr. Leslie	47NW	NW	47				
Oakshott, Maggie	17SE	SE	17		"Oakshot", missing the second 't', in the Ystari/Space Cowboys editions.		
Oakwood, Bernice	34SW	SW	34				
Oates, Polly	82NW	NW	82				
Oberfelder, Rudolf	55WC	WC	55		German		
Oberstein, Hugo	46WC	WC	46				
Obias, Roy	18EC	EC	18				
O’Brian, Barry	69WC	WC	69				
O’Brian, Disraeli	14WC	WC	14				
Ocklander, Chauncey	81E	E	81				
O’Connell, Leander	40S	S	40				
O’Connell, Thomas	80SW	SW	80				
O’Connor, Denny	24S	S	24				
O’Dell, Penny	26E	E	26				
Oden, Eldortha	62SE	SE	62				
Odson, Neil	71WC	WC	71				
Oetzmann & Co	66EC	EC	66				
Offen, Blanche	58SE	SE	58				
Offner, Milton	20NW	NW	20				
Ogden, Emmett	83EC	EC	83				
Ogilvie, Imogene	17NW	NW	17				
Ogilvie, Sir Lester	50WC	WC	50			7	
O’Grady, Gary	82WC	WC	82				
O’Hara, Jennifer	68NW	NW	68				
O’Hara, Patrick	93NW	NW	93				
Ohcon, Audrey	31EC	EC	31				
Ohlssen, Sigrid	64NW	NW	64				
Okada, Mark	59SE	SE	59				
Okerlund, Max	42EC	EC	42				
O’Laughlin, Michael	66EC	EC	66				
Old Bailey	36EC	EC	36				
Oldacre, Jonas	4EC	EC	4				
Oldwad, Wilson & Co	63E	E	63				
Oldwine, Cornelius	48SW	SW	48			2	
Olick, Kenward	15SE	SE	15			2	
Oliver, Daniel	45WC	WC	45		Space Cowboys edition lists this as 45SE		
Olivetto & Luciani	52S	S	52				
Ollendorf, Franz	7E	E	7		German		
Olmstead, Jennifer	72EC	EC	72				
Olner, Rutherford	67NW	NW	67				
Olympia, The	63SW	SW	63		Bug? Listed as 18WC under THEATRES. (63SW used as clue in reprint?)		
Omar, Kamal	57SE	SE	57		Arabic		
Ondes, Dolly	36E	E	36				
O’Neill, Carroll	14NW	NW	14			3,13	
O’Neill, Philip	9WC	WC	9			3	
Ophel, Shamir	11E	E	11				
Oppenheimer, Stuart	76WC	WC	76				
Oppenshaw, John	1WC	WC	1				
Opton, George	34E	E	34				
Oram, Mary	8E	E	8				
Orbin, Garrett	67SE	SE	67				
Orchid, Leland	27E	E	27				
Orcutt, Audrey	25NW	NW	25				
Ordway, Bertram	66SE	SE	66				
Oreta, Delores	45WC	WC	45				
Orey, Burt	24E	E	24				
Orff, Rolph	19E	E	19				
Orlaff, Nicholas	84EC	EC	84				
Ormond, Reginald	54WC	WC	54		Listed as 66EC under SOLICITORS (office)		
Ormsby, Nick	31E	E	31				
Ormsby, Roger	89E	E	89				
Orr, James	81SW	SW	81				
Ortner & Houle	75WC	WC	75				
Osborn, Wells	33NW	NW	33			8	
Ostler, Jack	70SE	SE	70				
Oswald, Betty	5EC	EC	5				
Oswald, Warren	67EC	EC	67				
Otten, Mamie	65SW	SW	65				
Outer Docks	98E	E	98				
Outwater & Co	9S	S	9				
Overholt, Richmond	82SW	SW	82				
Overstreet, Marmaduke	1SE	SE	1				
Overton, Cyril	30SW	SW	30				
Owen, Ned	16S	S	16				
Owen, Ralph	84SW	SW	84				
Owsley, Richard	10SE	SE	10				
Oxford Music Hall	13NW	NW	13				
Oxley, Mavis	84SE	SE	84				
Packer, Franklin	78WC	WC	78				
Packham, George	65NW	NW	65				
Paddock, Astrid	12E	E	12				
Padgett, Luke	51WC	WC	51				
Padway, Winston	23E	E	23				
Pahl, Dennis	3E	E	3				
Paige, Bruce	24SE	SE	24				
Painter, Charlotte	80WC	WC	80				
Painter, Claire	82WC	WC	82				
Pak, Yong Suk	6E	E	6		Asian		
Pall Mall Gazette	90SW	SW	90		(Newspapers)		
Pallas, Gary	32E	E	32				
Palmer, Chester	33NW	NW	33				
Pancoast, Kearney	66E	E	66				
Pannikkar, K. M.	84WC	WC	84				
Paquette, Rene	63NW	NW	63				
Paradol, Chamber	40WC	WC	40				
Pardee, Hank	27E	E	27				
Parker, Howard	68EC	EC	68				
Parker, Laura	85WC	WC	85				
Parker, Steven	43E	E	43				
Archbishop’s Park	90SE	SE	90	PARKS			
Buckingham Palace Gns	96SW	SW	96	PARKS	"Buckingham Palace Grdns"		
Deptford Park	62S	S	62	PARKS			
Green Park	97SW	SW	97	PARKS			
Greenwich Park	63S	S	63	PARKS			
Hyde Park	95NW	NW	95	PARKS			
Regents Park	97NW	NW	97	PARKS			
St. James Park	98SW	SW	98	PARKS			
Southwark Park	61S	S	61	PARKS			
Parks, Charles	31EC	EC	31				
Parliament, Houses of	16SW	SW	16				
Parr, Grace	25EC	EC	25				
Parr, Lucy	40SW	SW	40				
Parr, Ruth	83SW	SW	83				
Parrish, Ralph	57SE	SE	57				
Parsell, Vincent	26E	E	26				
Parsons & Sons	18NW	NW	18				
Parsons, Newton	62NW	NW	62				
Partridge, Sir Clayton	60SW	SW	60			1	
Partridge, Nate	3SE	SE	3				
Paschal: Investigations	78WC	WC	78				
Pasco, Adam	34E	E	34				
Paskin, Alistair	3SW	SW	3				
Pastore, Dante	57S	S	57				
Patch, Daniel	67SE	SE	67				
Patterson, Inspector	50EC	EC	50				
Patterson, Neil	69EC	EC	69				
Pattin, Rodney	1EC	EC	1				
Pattins, Hugh	60E	E	60				
Pauley, Newton	13SE	SE	13				
Pavich, Dimitri	86WC	WC	86		Russian		
Pavilion Music Hall	20NW	NW	20				
Pavilion Pub	20NW	NW	20				
Hoch’s	26E	E	26	PAWNBROKERS	"Hoch’s Pawnshop"		
Jabez Wilson	73EC	EC	73	PAWNBROKERS			
Saul Leibowitz	1E	E	1	PAWNBROKERS	"Saul Liebowitz Pawnshop"		
Zebediah’s	47E	E	47	PAWNBROKERS	"Zebediah’s Pawn Shop"		
Pawson, Etta	30E	E	30				
Paxton, May	37E	E	37				
Payne, Everett	88WC	WC	88				
Peabody, Flavia	26WC	WC	26				
Peacock, Donna	61NW	NW	61				
Peacock, Harvey	33SE	SE	33				
Peake, Minerva	49SW	SW	49				
Pearl Assurance Co	86EC	EC	86				
Pearlman, Elisha	19E	E	19				
Peckham, Lord Bosworth	84SW	SW	84				
Peddle, Grace	11E	E	11				
Peoples, W	60NW	NW	60				
Pelletier, Philippe	89WC	WC	89				
Pemberton, Marvin	73EC	EC	73				
Pembroke Mission	63SE	SE	63				
Pendergast, Hodge	25EC	EC	25				
Pennell, Lewis	92WC	WC	92				
Pennington, Frank	59NW	NW	59				
Pennock, Nona	70EC	EC	70				
Pennypacker, Rollo	34SE	SE	34				
People’s Palace	46E	E	46				
Pepin, R	72SE	SE	72				
Pepper, Aldo	10SE	SE	10				
Perkins, Lloyd	47EC	EC	47				
Perkins, Oliver	68SE	SE	68				
Perkovich, Solomon	16SE	SE	16				
Perrin, Linus	21S	S	21				
Persano, Isadora	42EC	EC	42				
Peter Robinson’s	71NW	NW	71				
Peterson’s	41NW	NW	41				
Petroff, Anatole	22SE	SE	22		Russian		
Pettit, Caufield	32EC	EC	32				
Petty, C	24SW	SW	24				
Petwick, G	72EC	EC	72				
Phalen, Gamaliel	20S	S	20				
Pharmaceutical Society	39WC	WC	39				
Phelps, John	58NW	NW	58				
Phelps, Percy	2WC	WC	2				
Phillimore, James	45WC	WC	45				
Phillipi & Crawford	9SW	SW	9				
Phillipe, James	13WC	WC	13				
Philpot, Judith	44SE	SE	44				
Piccadilly Hotel	26NW	NW	26				
Pickens, C	23SE	SE	23			10	
Pickering & Chatto	86SW	SW	86		(Books)		
Pickering, Morgan	34SW	SW	34				
Pickett, Lucy	37NW	NW	37				
Pickwick, Sir Colin	58SW	SW	58				
Piggott, S	87WC	WC	87			11	
Pike, Langdale	2SW	SW	2				
Pike, Stinson	55E	E	55				
Pillsbury, Nicholas	55S	S	55				
Pinckney, Simon	70EC	EC	70				
Pinkerton, Bruce	57NW	NW	57				
Pinkerton International	24NW	NW	24				
Piper, James	11EC	EC	11				
Pirlot House	23S	S	23				
Pitman, Harris	73SE	SE	73				
Pitman, Sanford	93WC	WC	93				
Pokrovsky, Alexandra	4EC	EC	4				
Pokrovksy, Nikolai	4EC	EC	4		Russian	7	
Police-Court	70WC	WC	70				
Police Gazette	35EC	EC	35				
Bow Street	70WC	WC	70	POLICE STATIONS			
Lambeth	53SE	SE	53	POLICE STATIONS			
Old Bailey	36EC	EC	36	POLICE STATIONS			
Scotland Yard	13SW	SW	13	POLICE STATIONS			
Thames Division	9E	E	9	POLICE STATIONS			
Titchfield	89NW	NW	89	POLICE STATIONS			
Polk, Chester	95WC	WC	95				
Pollack, Constable	61E	E	61				
Pollard, Christopher	54SE	SE	54				
Pollard, Enid	54SE	SE	54				
Pons, Solar	56NW	NW	56				
Ponsford, Maxwell	26SW	SW	26				
Poole & Co	10EC	EC	10				
Poole, Richard	56WC	WC	56				
Porlock, Fred	18NW	NW	18		No longer an ally in Volume 3.		
Porter, Margaret	8NW	NW	8			9	
Post, Janice	36NW	NW	36				
Post, Malcolm	66SE	SE	66				
EC District	93EC	EC	93	POSTOFFICES	No matching crossreference.		
SW District	32SW	SW	32	POSTOFFICES	No matching crossreference.		
WC District	6WC	WC	6	POSTOFFICES	No matching crossreference.		
Investigation Dept	12WC	WC	12	POSTOFFICES	No matching crossreference.		
Post Office Banks	6SE	SE	6	POSTOFFICES	No matching crossreference.		
Postern & Sons	78E	E	78				
Potter, Joe	11S	S	11				
Potter, Norman	79WC	WC	79				
Pound & Co	66SW	SW	66				
Powell, Ralph	74SE	SE	74				
Pratt, Grace	64SE	SE	64				
Pratt, Martha	64SE	SE	64				
Preedy & Bennett	68SW	SW	68				
Prendergast, Major	28NW	NW	28				
Prescott, H	89SW	SW	89				
Prescott, Rodger	27SE	SE	27				
Presmon & Black	24E	E	24				
Preston, Norwood	7WC	WC	7				
Price, Emmett	85EC	EC	85				
Price, Hazel	65SE	SE	65				
Prichard, Giles	15EC	EC	15				
Prim, L	7EC	EC	7				
Prince’s Skating Club	98SW	SW	98				
Princess Louise	90EC	EC	90				
Princess Theatre	11NW	NW	11		Bug? Listed as 63SW under THEATRES. (Shows as 11NW on map) (Corrected in 2012-2016 editions)		
Pringle, Mrs	51EC	EC	51				
Ackermann	12E	E	12	PRINTERS			
Lefevre	3EC	EC	3	PRINTERS	No matching crossreference.		
St. Bride’s Foundat’n	63EC	EC	63	PRINTERS	"St. Bride’s Foundation"		
Valadon & Co	1SE	SE	1	PRINTERS	Bug? Listed as 19SE under name.		
Provident Insurance	68EC	EC	68				
Pruitt & Ratcliff	46S	S	46				
Public Records Office	14WC	WC	14				
The Anchor	23E	E	23	PUBLIC HOUSES			
The Angel	75E	E	75	PUBLIC HOUSES			
The Bar of Gold	33SE	SE	33	PUBLIC HOUSES			
Elephant’s Nest	25S	S	25	PUBLIC HOUSES			
Henekey’s Wine Lodge	10WC	WC	10	PUBLIC HOUSES			
Inquisition	5S	S	5	PUBLIC HOUSES			
Ivy Plant	76SW	SW	76	PUBLIC HOUSES	"Ivy Plant Pub"		
Jamaica Winehouse	97EC	EC	97	PUBLIC HOUSES			
Nag’s Head	48E	E	48	PUBLIC HOUSES			
Pavilion	20NW	NW	20	PUBLIC HOUSES	"Pavilion Pub"		
Princess Louise	90EC	EC	90	PUBLIC HOUSES			
Punch & Judy	73WC	WC	73	PUBLIC HOUSES			
Sheriff’s Wine Lodge	71EC	EC	71	PUBLIC HOUSES			
Sir Galahad’s	27EC	EC	27	PUBLIC HOUSES	"Sir Galahad’s Pub"		
White Eagle	50SE	SE	50	PUBLIC HOUSES			
White Hart	55SE	SE	55	PUBLIC HOUSES			
Pullen, Felix	42S	S	42				
Punch & Judy	73WC	WC	73				
Purcell, Stephen	59SW	SW	59				
Purdy, Albert	100SW	SW	100				
Purdy, Daniel	49SW	SW	49				
Purdy, Joyce	8S	S	8				
Purdy, Sally	100SW	SW	100				
Putner, Beatrice	90SW	SW	90				
Pyle, Thurston	34S	S	34				
Quail, Alvin	48SE	SE	48				
Quant, Charlotte	7E	E	7				
Quare, Tobias	20EC	EC	20				
Quaritch	66NW	NW	66		(Books)		
Quartermane, Mathias	49E	E	49				
Quattro, Suzanne	16E	E	16				
Queen, Anthony	55NW	NW	55				
Quering, Clement	62E	E	62				
Quesnell, Priscilla	86EC	EC	86				
Quigley, Martin	60SE	SE	60				
Quill, Nancy	34WC	WC	34				
Quillis & Sons	13E	E	13				
Quimby, Edward	63WC	WC	63				
Quinlan, Patricia	44EC	EC	44				
Quinn, Jane	40NW	NW	40				
Quint, Ralph	88SE	SE	88				
Quintana, Emilio	61WC	WC	61				
Quinton, Griff	37E	E	37				
Quirt, Homer	69SE	SE	69				
Quist Bros	48NW	NW	48				
Quittel, Sally	88NW	NW	88				
Quock, George	83E	E	83				
R. S. Garrard & Co	44EC	EC	44				
Rabb, Jonathan	13E	E	13				
Race, Minnie	15SE	SE	15				
Radel, Konrad	56E	E	56				
Radford, Jones & Co	11WC	WC	11				
Radovich & Rosen	17S	S	17				
Radtke, Gunther	44EC	EC	44		German		
Rafael, Gilbert	64WC	WC	64				
Rafferty, Diana	83NW	NW	83				
Rafferty, Michael	54NW	NW	54				
Ragland, Lord Henry	56SW	SW	56			1	
Ragsdale, Elbert	56S	S	56				
Raike, Filbert	34EC	EC	34				
Railsback, Myles	89E	E	89				
Raines, Sarah	61SW	SW	61				
Raleigh, Dora	22E	E	22				
Rambo, Alban	21SE	SE	21				
Rampton, Steve	23S	S	23				
Ramsdell, Thurston	14E	E	14				
Ramsey, Herman	32WC	WC	32			5	
Rance, Constable John	26SE	SE	26				
Rand, Glenn	53NW	NW	53				
Randall, Jane	62SW	SW	62				
Randell, Martha	38SE	SE	38				
Randolph, Linda	33NW	NW	33				
Randolph, Vance	53EC	EC	53				
Randolph, Vincent	33NW	NW	33			7	
Rankin, Abby	39E	E	39				
Ransom, Ethel	71E	E	71				
Rapoport, Judy	32E	E	32				
Rapoport, Stephen	85E	E	85				
Ras, Daulat	36NW	NW	36				
Raskin, Cuthbert	41E	E	41				
Ratcliffe, William	52NW	NW	52				
Rath, Wilber	43E	E	43				
Rattley, Mavis	87E	E	87				
Raven & Rat Inn	52EC	EC	52				
Rawlinson, W	50NW	NW	50			12	
Raymond, Edward	43E	E	43				
Reardon, Lorraine	86NW	NW	86				
Reardon, Osbert	3EC	EC	3				
Reaston & Co	24SE	SE	24				
Reaston, John	100SW	SW	100				
Records, Office of	14WC	WC	14				
Red Boar Inn	34SE	SE	34				
Redburn, Bradley	54EC	EC	54				
Reece, Calvin	39SE	SE	39				
Reed, Emerson	16EC	EC	16				
Reeves & Tucker	38NW	NW	38				
Regents Park	97NW	NW	97				
Reich, Carson	97EC	EC	97				
Reid, Megan	57S	S	57				
Reilly, Myke	33SE	SE	33				
Reinhardt, Berger	55EC	EC	55				
Renfield, Forrest	63SW	SW	63				
Renshaw, James	62SE	SE	62				
Appenrodt’s German	16EC	EC	16	RESTAURANTS	"Appenrodt’s German Rest"		
Cafe Monico	90NW	NW	90	RESTAURANTS			
Cafe Royal	82SW	SW	82	RESTAURANTS	Bug? Listed as 82NW under name.		
Driver’s Oyster Bar	72WC	WC	72	RESTAURANTS			
Globe	19NW	NW	19	RESTAURANTS	"Globe Restaurant"		
Goldini’s	48SW	SW	48	RESTAURANTS			
Haxell’s Restaurant	19NW	NW	19	RESTAURANTS			
Holborn	61EC	EC	61	RESTAURANTS			
Keen’s Chop House	37WC	WC	37	RESTAURANTS			
Romano’s	19WC	WC	19	RESTAURANTS	"Romano’s Restaurant"		
Rule’s	19WC	WC	19	RESTAURANTS	"Rule’s Restaurant"		
Ship & Turtle	83EC	EC	83	RESTAURANTS			
Simpson’s	20WC	WC	20	RESTAURANTS	"Simpson’s Dining Rooms"		
Vegetarian Restaurant	74EC	EC	74	RESTAURANTS			
Retzloff & Lambert	55S	S	55				
Reuscher, Griselda	56EC	EC	56				
Reuters’ Telegraph Agency	87EC	EC	87				
Revell, Nathan	44WC	WC	44			7	
Reynolds, Archibald	34SE	SE	34				
Rhimer, Ltd	27WC	WC	27				
Rhodes, Janet	85NW	NW	85				
Ribble, Tybalt	74EC	EC	74				
Rice, Ashley	56EC	EC	56				
Richards, Dr	83WC	WC	83				
Richards, Sir Edmond	78NW	NW	78				
Richards, Lady Hilary	78NW	NW	78				
Richardson, Laurence	90SW	SW	90				
Richmond, Otis	39SW	SW	39			2	
Ricoletti	27E	E	27				
Rider, Todd	96EC	EC	96				
Ridgways	24NW	NW	24				
Rigby & Co	1SW	SW	1				
Rigg, Jozy	34S	S	34				
Riley, Jack	65SE	SE	65				
Rimmel & Son	26SW	SW	26				
Ring, The	35SE	SE	35				
Rittenbaum, Huldah	85E	E	85				
Rittenhouse, Joachim	65WC	WC	65				
Rivinius, Forrest	87SE	SE	87				
Robarts, Wilfrid	29NW	NW	29		Listed as 37WC under BARRISTERS (office)	2	
Robbins, Neal	57EC	EC	57				
Roberts & Parfitt	88SE	SE	88				
Roberts, Clifford	74SE	SE	74				
Roberts, Earl	39SE	SE	39				
Robertson, Sean	15E	E	15				
Robinson, Clarence	71WC	WC	71				
Robles, Thurston	75SW	SW	75				
Rochefort, Henri	76NW	NW	76		French		
Rockett, Stanley	58EC	EC	58				
Rockwell, Llewellyn	3SE	SE	3				
Roddy, Iris	27SW	SW	27				
Rodenburg, Karl	80EC	EC	80				
Roe, David	95EC	EC	95				
Rollins, Leslie	76SW	SW	76				
Romano’s Restaurant	19WC	WC	19				
Romero, Giorgio	13E	E	13				
Ronder, Eugenia	56SE	SE	56				
Rooker, Jeanette	46WC	WC	46			7	
Rooney, Annie	24NW	NW	24				
Rosen, Levi	23E	E	23				
Ross & Mangles	46SW	SW	46				
Ross, Sherwood	73WC	WC	73				
Roster, David	34WC	WC	34				
Roster, Emily	34WC	WC	34				
Roster, Maggie	34WC	WC	34				
Rourke, Mitchell	77NW	NW	77				
Rowan, Elizabeth	73EC	EC	73				
Rowe, Betty	46NW	NW	46				
Rowland, William	36WC	WC	36			8	
Rowlands & Frazier	40NW	NW	40				
Rowlatt, P	94EC	EC	94				
Rowney Bros	49EC	EC	49				
Royal Academy	23NW	NW	23				
Royal Acquarium	83SW	SW	83				
Royal Blackheath Golf	61SW	SW	61				
Royal Courts of Justice	15WC	WC	15				
Royal Greenwich Hospital	65S	S	65				
Royal Insurance Co	68NW	NW	68				
Royal Italian Circus	35NW	NW	35				
Royal Mews	36SW	SW	36				
Royal Military Museum	47SW	SW	47				
Royal Mint	13EC	EC	13				
Royal Toxophilite Society	82NW	NW	82		Bug? Listed as 82SW under SPORTING SOCIETIES.		
Royal Victualling Yard	64S	S	64				
Royalty Theatre	15NW	NW	15				
Roycroft, Gifford	25NW	NW	25				
Rudd, Kirk	76SE	SE	76				
Rudge & Singer	21SE	SE	21				
Rufton, Earl of	53SW	SW	53				
Rugby Football Union	58NW	NW	58				
Rule’s Restaurant	19WC	WC	19				
Rundle & Gorge	68E	E	68				
Russell, Matthew	92EC	EC	92				
Russian Embassy	54SW	SW	54				
Russian Social Club	7SE	SE	7				
Rutherford, Gladys	75EC	EC	75				
Rutland, Lord James	64SW	SW	64				
Rutledge, Sophie	75NW	NW	75				
Ryan, Timothy	75SE	SE	75				
Rydell, Mack	87E	E	87				
Ryder, James	6EC	EC	6				
S. Goff	28WC	WC	28				
Saari, Dr Ilona	3S	S	3				
Sabatino, Amerigo	21S	S	21				
Sabin, Nahum	15S	S	15				
Sacha, Bruno	36SE	SE	36				
Sackett, Jonathan	72SE	SE	72				
Sackett, Luke	26E	E	26				
Sadler, David	10WC	WC	10				
Saffron Hill House	12E	E	12				
Saiferawe, David	4SW	SW	4				
St. Bartholemew’s Hosp	38EC	EC	38				
St. Bride’s Foundation	63EC	EC	63				
St. Charles, Dexter	20SW	SW	20				
St. Clair, Neville	32S	S	32				
St. George Hospital	57SW	SW	57				
St. George’s Baths	28NW	NW	28				
St. George’s Church	81NW	NW	81				
St. James Gazette	89SW	SW	89				
St. James Hall	22NW	NW	22				
St. James Palace	6SW	SW	6				
St. James Park	98SW	SW	98				
St. Katherine Docks	93E	E	93				
St. Katherine Steam Wharf	93E	E	93				
St. Mary’s Church	19EC	EC	19				
St. Pancras Hotel	48WC	WC	48				
St. Pancras Station	49WC	WC	49				
St. Patrick’s Church	57E	E	57				
St. Paul’s Cathedral	28EC	EC	28				
St. Savior’s Church	2WC	WC	2				
St. Simon, Lord Robert	55SW	SW	55				
St. Thomas Hospital	29SE	SE	29				
Salesby, Barry	8SW	SW	8		Bug? Same as Mycroft.		
Salisbury, Lord	74NW	NW	74				
Salkin, Harvey	49E	E	49				
Salkind, Bess	14S	S	14				
Salop, Jacqueline	53E	E	53				
Salsbury, Sabina	3S	S	3				
Salter, Duane	9SW	SW	9				
Saltzman, Murray	40E	E	40				
Salvation Army	69EC	EC	69				
Salvation Army Hostel	42SE	SE	42				
Salvi, Valentine	52E	E	52				
Samples, Irving	77WC	WC	77				
Samples, Maria	35WC	WC	35				
Samrick, Tod	13E	E	13				
Samuels & Braverman	66E	E	66				
Samuels, Arthur	56E	E	56				
Sanborn Ltd	33E	E	33				
Sanders, Karl	73NW	NW	73				
Sanford, Eudora	44E	E	44				
Sanger, John	2NW	NW	2				
Santiago, Hernado	86EC	EC	86		Spanish		
Sarden, Leslie	58E	E	58				
Sattui, Victor	72NW	NW	72				
Saul Liebowitz Pawnshop	1E	E	1				
Saunders, Sir James	39NW	NW	39				
Saunders, Mrs	39WC	WC	39				
Savage, Keith	77SE	SE	77				
Savage, Victor	45WC	WC	45				
Saxe, Osgood	65SW	SW	65				
Scammon, Stanley	61E	E	61				
Schafer, Sandra	61EC	EC	61				
Schiller, Mark	62E	E	62				
Schindler, Reginald	71NW	NW	71				
Schulenberg, Count von	51SW	SW	51			1	
Schwartz, Irving	39E	E	39				
Schwerthofer, Maximilian	43SW	SW	43		German		
Scopes, Martin	18S	S	18				
Scotland Yard	13SW	SW	13	Scotland Yard			
Criminal Investigation	13SW	SW	13	Scotland Yard			
Criminal Laboratory	22SW	SW	22	Scotland Yard			
Public Carriage Office	5WC	WC	5	Scotland Yard			
Special Branch	85SW	SW	85	Scotland Yard			
Thames Division	9E	E	9	Scotland Yard			
Scott, Sir Giles	67SW	SW	67				
Scottish National	51EC	EC	51				
Scranton, Micah	65E	E	65				
Scully, Swofford & Dugg	21E	E	21				
Seagrave, Timothy	72SW	SW	72				
Seals, Harriet	62EC	EC	62				
Seaman’s	10S	S	10		Listed as "Seamen’s" under CHARITIES.		
Searle, Trudy	55E	E	55				
Seaton, Aggie	40E	E	40				
Seaton, Keith	68E	E	68				
Sebastian, Richard	8WC	WC	8				
Sedman, Vera	87EC	EC	87				
Sedwick, Everett	21EC	EC	21				
Selby, Lloyd	59E	E	59				
Selfridge’s	74NW	NW	74				
Selkirk, Alexander	38SW	SW	38				
Selph, Jasper	40SW	SW	40				
Sennett, Donald	27NW	NW	27				
Serjeant’s Inn	21NW	NW	21				
Serlynn, Lois	13SE	SE	13				
Serovaskaya, Valerya	18SW	SW	18		Russian		
Alms House	20E	E	20	SETTLEMENT HOUSES			
Arlington House	42E	E	42	SETTLEMENT HOUSES			
Mariner’s House	41S	S	41	SETTLEMENT HOUSES			
Marywood House	22E	E	22	SETTLEMENT HOUSES			
Pembroke Mission	63SE	SE	63	SETTLEMENT HOUSES			
Toynbee Hall	17S	S	17	SETTLEMENT HOUSES			
Sewell, Miriam	56WC	WC	56				
Shackleford, Austin	70NW	NW	70				
Shackleford, Lydia	70NW	NW	70				
Shaddox & Alquist	49NW	NW	49				
Shadwell New Basin	95E	E	95				
Shafton, Milo	57S	S	57				
Shallcross, Lucien	7SW	SW	7				
Shallow & Tinker	15S	S	15				
Shane, Alan	48WC	WC	48				
Shank, Arnold	90EC	EC	90				
Shank, Martin	71SE	SE	71				
Shannon, Wilson	66NW	NW	66				
Shardon, Robert	15SW	SW	15				
Sharp, Wallace	32SE	SE	32			3	
Sharpe, Thomas	57E	E	57				
Shaw, Dorothy	69NW	NW	69				
Shaw, G.B.	79WC	WC	79				
Shaw, John Bennett	69NW	NW	69				
Shay, Casey	48E	E	48				
Shedd Ltd	33S	S	33				
Sheffield, Maynard	29SW	SW	29				
Shelby, Vincent	67NW	NW	67				
Shephard, Fay	25SE	SE	25				
Shephard, Leo	25SE	SE	25			7	
Sheriff’s Wine Lodge	71EC	EC	71				
Sheringham, Roger	63SW	SW	63				
Sherman, Elton	6EC	EC	6			7	
Sherston, Leigh	90SW	SW	90				
